Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-04-03,-1.2103739383040886,-1.2160610533575489,-1.2216675610183791,-1.2228487824030692,-1.2228487824030692,0.1246519477639905,3,4,2,-1.2256613853654232,-1.2276936997981447,-1.2123187835976186,-1.2463756236764911,0.0010827060331084959
2014-04-04,-1.21533460250973,-1.2208183900729357,-1.2485201828107,-1.2527665512759572,-1.2527665512759572,0.1754018348388492,4,4,2,-1.2271859499012066,-1.2317474531812986,-1.2228487824030692,-1.245143728597041,0.004291316825189815
2014-04-07,-1.2569503454538251,-1.2568102937334318,-1.266786924699487,-1.265814916314418,-1.265814916314418,0.1693006704042674,0,4,2,-1.2336715303474821,-1.2357353957291402,-1.2527665512759572,-1.2333870140830396,0.0017633747855424493
2014-04-08,-1.2639506635443856,-1.260436995802639,-1.2629535157675758,-1.256775089553426,-1.256775089553426,0.136703098959073,1,4,2,-1.2421048246288977,-1.2390336524593732,-1.265814916314418,-1.2146086181463482,-0.0009762662110815312
2014-04-09,-1.2518619332803171,-1.2429106376701948,-1.2478451726448174,-1.2374908957538442,-1.2374908957538442,0.1145908444968119,2,4,2,-1.247139247060143,-1.2387530003401253,-1.256775089553426,-1.2123187835976186,-0.0017583035113462285
2014-04-10,-1.2378340741733047,-1.2436068589947598,-1.2693607526503314,-1.272787797157867,-1.272787797157867,0.1570717709135987,3,4,2,-1.2571270500111023,-1.2413942176882629,-1.2374908957538442,-1.2228487824030692,0.004480151595713517
2014-04-11,-1.2830179339390486,-1.2747442523021075,-1.2833880476587065,-1.2875767101156017,-1.2875767101156017,0.1427117243325505,4,4,2,-1.2640890817790313,-1.245637515840119,-1.272787797157867,-1.2527665512759572,0.0016582114268499449
2014-04-14,-1.2767655130989817,-1.2791777884275854,-1.28479842775276,-1.2813326484799608,-1.2813326484799608,0.1084447848741698,0,4,2,-1.26719262821214,-1.2504320792798111,-1.2875767101156017,-1.265814916314418,-0.0005258994788414142
2014-04-15,-1.2782423186178542,-1.2780957070045749,-1.2959033362606451,-1.278213339789366,-1.278213339789366,0.1563296259681097,1,4,2,-1.271480278259328,-1.256792551444113,-1.2813326484799608,-1.256775089553426,-0.0003805728055538323
2014-04-16,-1.2689438623801048,-1.2696009896460785,-1.2704446141748589,-1.2640526574622482,-1.2640526574622482,0.1059370679410792,2,4,2,-1.2767926306010087,-1.2619659388305757,-1.278213339789366,-1.2374908957538442,-0.0011736234625959465
2014-04-17,-1.2652778098736857,-1.263076154239967,-1.2633404607782812,-1.2615261905245398,-1.2615261905245398,0.1143306356517269,3,4,2,-1.2745403092743435,-1.2658336796427228,-1.2640526574622482,-1.272787797157867,-0.00022851308387830376
2014-04-21,-1.2584596856027757,-1.2600836145264789,-1.2586180693950686,-1.254447276849448,-1.254447276849448,0.0767396198202176,0,4,2,-1.2679144226211125,-1.2660017522000717,-1.2615261905245398,-1.2875767101156017,-0.00043061582727887764
